motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Bench Press - Personalized Pablo,2500,2,71.4,495,495,12.1,12.1,12.1
index,ax,ay,az,gx,gy,gz,mx,my,mz
0,-0.453125,1.3125,-0.0625,0,0,-11.71875,0,0,0
1,-0.375,1.234375,0.078125,0,0,-11.71875,0,0,0
2,-0.375,1.1875,-0.046875,5.859375,-1.953125,-15.625,0,0,0
3,-0.296875,1.15625,0.078125,5.859375,-5.859375,-7.8125,0,0,0
4,-0.34375,1.125,-0.015625,13.671875,-9.765625,-1.953125,0,0,0
5,-0.328125,1.078125,0.109375,13.671875,-13.671875,5.859375,0,0,0
6,-0.375,1.046875,-0.015625,11.71875,-21.484375,"11.71875,19.53125",0,0,0
7,-0.203125,0.859375,0.09375,-15.625,-19.53125,"31.25,13.671875",0,0,0
8,-0.1875,0.8125,0.140625,-17.578125,-19.53125,"25.390625,17.578125",0,0,0
9,-0.140625,0.796875,0.140625,-19.53125,-23.4375,"29.296875,17.578125",0,0,0
10,-0.140625,0.734375,0.125,-17.578125,-17.578125,"27.34375,29.296875",0,0,0
11,-0.171875,0.75,"0.15625,0.28125",-15.625,-17.578125,25.390625,0,0,0
12,-0.140625,0.796875,0.15625,-13.671875,-9.765625,23.4375,0,0,0
13,-0.171875,0.828125,0.15625,-11.71875,-11.71875,27.34375,0,0,0
14,-0.109375,0.859375,0.15625,-13.671875,-3.90625,27.34375,0,0,0
15,-0.15625,0.859375,0.171875,-15.625,-5.859375,23.4375,0,0,0
16,-0.09375,0.859375,0.203125,-9.765625,-7.8125,33.203125,0,0,0
17,-0.140625,0.84375,0.15625,-7.8125,-19.53125,25.390625,0,0,0
18,-0.171875,0.796875,"0.109375,0.234375",0,-15.625,-11.71875,0,0,0
19,-0.15625,0.8125,0.140625,0,-13.671875,"-15.625,-13.671875",0,0,0
20,-0.203125,0.890625,0.171875,1.953125,-5.859375,"-23.4375,-17.578125",0,0,0
21,-0.203125,0.859375,0.1875,7.8125,"25.390625,3.90625","-35.15625,-5.859375",0,0,0
22,-0.125,0.8125,0.1875,7.8125,"9.765625,7.8125","-41.015625,-11.71875",0,0,0
23,-0.171875,0.8125,0.1875,11.71875,"37.109375,0","-33.203125,-11.71875",0,0,0
24,-0.1875,0.8125,0.125,13.671875,"21.484375,-3.90625","-33.203125,-3.90625",0,0,0
25,-0.1875,0.8125,0.203125,21.484375,"44.921875,0","-25.390625,-13.671875",0,0,0
26,-0.203125,0.84375,"0.109375,0.234375","29.296875,7.8125","29.296875,-3.90625","-21.484375,-5.859375",0,0,0
27,-0.203125,0.6875,0.28125,37.109375,7.8125,"-11.71875,-7.8125",0,0,0
28,-0.25,0.90625,0,0,7.8125,"-13.671875,-7.8125",0,0,0
29,-0.234375,0.9375,0,0,7.8125,"-7.8125,-11.71875",0,0,0
30,-0.265625,0.9375,0,-5.859375,15.625,-9.765625,0,0,0
31,-0.1875,1,-0.03125,-5.859375,11.71875,-1.953125,0,0,0
32,-0.25,0.96875,"0.03125,0.203125",-7.8125,15.625,0,0,0,0
33,-0.21875,1.03125,-0.015625,-5.859375,9.765625,1.953125,0,0,0
34,-0.28125,1,0.046875,-9.765625,9.765625,7.8125,0,0,0
35,-0.234375,1.078125,"0.015625,0.15625",-9.765625,7.8125,9.765625,0,0,0
36,-0.25,1.0625,"0.046875,0.1875",-15.625,11.71875,7.8125,0,0,0
37,-0.296875,1.03125,0.015625,-19.53125,1.953125,3.90625,0,0,0
38,-0.40625,1.328125,"0.015625,0.140625",-17.578125,1.953125,7.8125,0,0,0
39,-0.34375,1.390625,0.109375,-15.625,-9.765625,5.859375,0,0,0
40,-0.40625,1.421875,0.078125,-11.71875,-13.671875,1.953125,0,0,0
41,-0.296875,1.328125,0.078125,-1.953125,-13.671875,-3.90625,0,0,0
42,-0.3125,1.21875,0.03125,5.859375,-3.90625,-11.71875,0,0,0
43,-0.21875,1.171875,0.078125,13.671875,0,-17.578125,0,0,0